9th Ward,9,South
10th Ward,11,South
11th Ward,13,Mt. Logan Stake Center
12th Ward,10,North
13th Ward,12,North
14th Ward,14,North
15th Ward,10.5,North
16th Ward,12.5,South
17th Ward,13.5,South
